sales_name;success_rate;information
Elisa Prabowo;73.1;Sales Elisa Prabowo berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.1%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 3 dan L4 = 6.
Mursinin Uwais, M.Ak;73.07;Sales Mursinin Uwais, M.Ak berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.07%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 2 dan L4 = 6.
Titin Prayoga;73.07;Sales Titin Prayoga berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 73.07%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 4, L2 = 2, L3 = 0 dan L4 = 6.
Caraka Latupono;60.96;Sales Caraka Latupono berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.96%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 1, L2 = 4, L3 = 2 dan L4 = 5.
Fathonah Maulana;60.9;Sales Fathonah Maulana berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.9%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 3 dan L4 = 5.
Sutan Johan Permata;60.9;Sales Sutan Johan Permata berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.9%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 3, L2 = 4, L3 = 2 dan L4 = 5.
Laksana Sitompul;61.0;Sales Laksana Sitompul berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 61.0%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 6, dengan rincian sebagai berikut: L1 = 0, L2 = 1, L3 = 0 dan L4 = 5.
Tgk. Hesti Lazuardi;60.84;Sales Tgk. Hesti Lazuardi berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.84%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 16, dengan rincian sebagai berikut: L1 = 5, L2 = 4, L3 = 2 dan L4 = 5.
Upik Anggraini;60.96;Sales Upik Anggraini berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.96%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 4 dan L4 = 5.
Yulia Sirait, S.Gz;60.9;Sales Yulia Sirait, S.Gz berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.9%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 17, dengan rincian sebagai berikut: L1 = 3, L2 = 5, L3 = 4 dan L4 = 5.
Yulia Sihombing;60.93;Sales Yulia Sihombing berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.93%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 3 dan L4 = 5.
Pia Suartini;60.93;Sales Pia Suartini berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.93%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 2 dan L4 = 5.
Citra Salahudin;60.9;Sales Citra Salahudin berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.9%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 3, L2 = 5, L3 = 1 dan L4 = 5.
T. Harimurti Hassanah, S.E.;60.84;Sales T. Harimurti Hassanah, S.E. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.84%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 5, L2 = 4, L3 = 1 dan L4 = 5.
Halima Hasanah;60.96;Sales Halima Hasanah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.96%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 1, L2 = 4, L3 = 2 dan L4 = 5.
Dr. Lurhur Nugroho;60.9;Sales Dr. Lurhur Nugroho berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.9%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 1 dan L4 = 5.
Budi Maulana;60.93;Sales Budi Maulana berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.93%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 3 dan L4 = 5.
Uli Waluyo;60.93;Sales Uli Waluyo berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.93%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 1 dan L4 = 5.
Edison Maheswara, S.T.;60.96;Sales Edison Maheswara, S.T. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.96%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 3 dan L4 = 5.
Uli Safitri;60.84;Sales Uli Safitri berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.84%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 5, L2 = 0, L3 = 1 dan L4 = 5.
Dariati Maheswara;60.87;Sales Dariati Maheswara berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.87%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 4, L2 = 4, L3 = 2 dan L4 = 5.
Sakura Wulandari, S.Psi;60.9;Sales Sakura Wulandari, S.Psi berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.9%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 3, L2 = 1, L3 = 4 dan L4 = 5.
Siska Maheswara;60.9;Sales Siska Maheswara berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.9%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 3, L2 = 4, L3 = 1 dan L4 = 5.
Cawuk Situmorang;60.96;Sales Cawuk Situmorang berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.96%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 3 dan L4 = 5.
Tgk. Arsipatra Wahyudin;60.93;Sales Tgk. Arsipatra Wahyudin berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.93%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 2, L2 = 4, L3 = 2 dan L4 = 5.
Gilda Nuraini;60.87;Sales Gilda Nuraini berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.87%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 2 dan L4 = 5.
Endah Wibisono;60.9;Sales Endah Wibisono berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 60.9%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 2 dan L4 = 5.
Ozy Budiyanto;48.64;Sales Ozy Budiyanto berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.64%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 5, L2 = 3, L3 = 2 dan L4 = 4.
Dt. Balamantri Siregar, S.Pd;48.76;Sales Dt. Balamantri Siregar, S.Pd berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 4 dan L4 = 4.
Cut Elvina Yulianti;48.73;Sales Cut Elvina Yulianti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 1 dan L4 = 4.
Asirwada Hutapea;48.73;Sales Asirwada Hutapea berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 4 dan L4 = 4.
Puti Nadia Anggraini, S.Pt;48.67;Sales Puti Nadia Anggraini, S.Pt berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.67%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 4, L2 = 5, L3 = 0 dan L4 = 4.
Darmana Saefullah;48.76;Sales Darmana Saefullah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 6, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 0 dan L4 = 4.
T. Galuh Saragih, M.Pd;48.76;Sales T. Galuh Saragih, M.Pd berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 2 dan L4 = 4.
Caturangga Iswahyudi;48.8;Sales Caturangga Iswahyudi berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.8%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 0, L2 = 2, L3 = 2 dan L4 = 4.
Tgk. Mahdi Oktaviani;48.7;Sales Tgk. Mahdi Oktaviani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.7%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 3, L2 = 2, L3 = 1 dan L4 = 4.
Zizi Puspita;48.67;Sales Zizi Puspita berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.67%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 4, L2 = 1, L3 = 3 dan L4 = 4.
Puti Fitriani Usamah;48.76;Sales Puti Fitriani Usamah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 1, L2 = 5, L3 = 2 dan L4 = 4.
Artanto Mayasari;48.73;Sales Artanto Mayasari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 2, L2 = 4, L3 = 4 dan L4 = 4.
Cut Amalia Mustofa;48.73;Sales Cut Amalia Mustofa berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 2, L2 = 4, L3 = 2 dan L4 = 4.
Rika Tarihoran;48.73;Sales Rika Tarihoran berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 2, L2 = 2, L3 = 0 dan L4 = 4.
Jaeman Ramadan;48.7;Sales Jaeman Ramadan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.7%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 3, L2 = 4, L3 = 3 dan L4 = 4.
Vivi Puspasari;48.76;Sales Vivi Puspasari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 2 dan L4 = 4.
Puti Belinda Wijaya, S.H.;48.73;Sales Puti Belinda Wijaya, S.H. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 4 dan L4 = 4.
Gatra Wijayanti;48.67;Sales Gatra Wijayanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.67%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 3 dan L4 = 4.
Jamalia Nababan;48.6;Sales Jamalia Nababan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 16, dengan rincian sebagai berikut: L1 = 6, L2 = 1, L3 = 5 dan L4 = 4.
Hendra Damanik, S.Psi;48.64;Sales Hendra Damanik, S.Psi berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.64%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 5, L2 = 0, L3 = 1 dan L4 = 4.
R. Tantri Wasita;48.64;Sales R. Tantri Wasita berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.64%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 5, L2 = 2, L3 = 3 dan L4 = 4.
Prasetya Farida;48.76;Sales Prasetya Farida berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 2 dan L4 = 4.
Cut Belinda Melani, M.Farm;48.73;Sales Cut Belinda Melani, M.Farm berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 17, dengan rincian sebagai berikut: L1 = 2, L2 = 7, L3 = 4 dan L4 = 4.
Mutia Permadi;48.73;Sales Mutia Permadi berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 2, L2 = 0, L3 = 2 dan L4 = 4.
Kuncara Haryanti;48.8;Sales Kuncara Haryanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.8%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 0, L2 = 3, L3 = 1 dan L4 = 4.
Hj. Kania Mustofa;48.76;Sales Hj. Kania Mustofa berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 4 dan L4 = 4.
Emong Sirait;48.76;Sales Emong Sirait berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 5 dan L4 = 4.
Cut Tira Suryatmi, S.Gz;48.67;Sales Cut Tira Suryatmi, S.Gz berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.67%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 17, dengan rincian sebagai berikut: L1 = 4, L2 = 3, L3 = 6 dan L4 = 4.
Lili Pradipta, M.TI.;48.6;Sales Lili Pradipta, M.TI. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 17, dengan rincian sebagai berikut: L1 = 6, L2 = 3, L3 = 4 dan L4 = 4.
Digdaya Kurniawan;48.76;Sales Digdaya Kurniawan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 0 dan L4 = 4.
Tgk. Damar Anggriawan;48.57;Sales Tgk. Damar Anggriawan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.57%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 7, L2 = 1, L3 = 2 dan L4 = 4.
Jamalia Riyanti;48.73;Sales Jamalia Riyanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 4 dan L4 = 4.
drg. Harto Irawan;48.67;Sales drg. Harto Irawan berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.67%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 4, L2 = 2, L3 = 2 dan L4 = 4.
Cut Ina Hidayat;48.6;Sales Cut Ina Hidayat berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 21, dengan rincian sebagai berikut: L1 = 6, L2 = 6, L3 = 5 dan L4 = 4.
Aisyah Wijayanti;48.7;Sales Aisyah Wijayanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.7%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 8, dengan rincian sebagai berikut: L1 = 3, L2 = 0, L3 = 1 dan L4 = 4.
Dr. Dewi Jailani;48.73;Sales Dr. Dewi Jailani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 2, L2 = 1, L3 = 4 dan L4 = 4.
Viktor Suryono;48.7;Sales Viktor Suryono berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.7%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 13, dengan rincian sebagai berikut: L1 = 3, L2 = 4, L3 = 2 dan L4 = 4.
Mahmud Kuswandari;48.64;Sales Mahmud Kuswandari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.64%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 14, dengan rincian sebagai berikut: L1 = 5, L2 = 3, L3 = 2 dan L4 = 4.
Dipa Zulkarnain, S.IP;48.76;Sales Dipa Zulkarnain, S.IP berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 0, L3 = 2 dan L4 = 4.
Umaya Simbolon;48.73;Sales Umaya Simbolon berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 0 dan L4 = 4.
Sutan Enteng Riyanti, M.Kom.;48.76;Sales Sutan Enteng Riyanti, M.Kom. berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 1, L2 = 4, L3 = 1 dan L4 = 4.
Jefri Nurdiyanti;48.76;Sales Jefri Nurdiyanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 15, dengan rincian sebagai berikut: L1 = 1, L2 = 3, L3 = 7 dan L4 = 4.
Hafshah Rajata;48.76;Sales Hafshah Rajata berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 6, dengan rincian sebagai berikut: L1 = 1, L2 = 0, L3 = 1 dan L4 = 4.
Ida Purwanti;48.6;Sales Ida Purwanti berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.6%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 17, dengan rincian sebagai berikut: L1 = 6, L2 = 4, L3 = 3 dan L4 = 4.
Jatmiko Anggraini;48.7;Sales Jatmiko Anggraini berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.7%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 3, L2 = 3, L3 = 1 dan L4 = 4.
Anom Kuswandari;48.73;Sales Anom Kuswandari berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 9, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 0 dan L4 = 4.
Yahya Permata;48.76;Sales Yahya Permata berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 0, L3 = 2 dan L4 = 4.
Harsana Wasita;48.76;Sales Harsana Wasita berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 10, dengan rincian sebagai berikut: L1 = 1, L2 = 1, L3 = 4 dan L4 = 4.
Ghaliyati Melani;48.76;Sales Ghaliyati Melani berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 7, dengan rincian sebagai berikut: L1 = 1, L2 = 2, L3 = 0 dan L4 = 4.
Vera Natsir;48.67;Sales Vera Natsir berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.67%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 4, L2 = 0, L3 = 3 dan L4 = 4.
Tgk. Ami Nasyidah;48.76;Sales Tgk. Ami Nasyidah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.76%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 11, dengan rincian sebagai berikut: L1 = 1, L2 = 6, L3 = 0 dan L4 = 4.
Olga Hardiansyah;48.73;Sales Olga Hardiansyah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.73%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 2, L2 = 3, L3 = 3 dan L4 = 4.
Praba Narpati;48.67;Sales Praba Narpati berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.67%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 4, L2 = 4, L3 = 0 dan L4 = 4.
Artawan Nasyiah;48.67;Sales Artawan Nasyiah berhasil menjual produk M-Knows dengan tingkat kesuksesan penjualan sebesar 48.67%. Dimana sales tersebut berhasil mendapatkan klien sebanyak 12, dengan rincian sebagai berikut: L1 = 4, L2 = 1, L3 = 3 dan L4 = 4.
